,confirmed,recovered,tested,vaccinated1,vaccinated2,deceased
AN,3.0,5.0,8936.0,884.0,10640.0,0.0
AP,2873.0,3590.0,254532.0,1223010.0,1887005.0,30.0
AR,66.0,97.0,4788.0,3312.0,23647.0,0.0
AS,2056.0,2215.0,269097.0,274869.0,849889.0,24.0
BR,40.0,31.0,1378539.0,1286708.0,2144970.0,0.0
CH,28.0,20.0,10726.0,3680.0,21641.0,0.0
CT,205.0,103.0,147451.0,379374.0,604260.0,5.0
DL,267.0,239.0,395086.0,160323.0,269146.0,0.0
DN,0.0,2.0,0.0,2802.0,14244.0,0.0
GA,222.0,409.0,19026.0,8418.0,46494.0,6.0
GJ,159.0,116.0,328489.0,335172.0,1660382.0,2.0
HP,1537.0,1154.0,64352.0,13244.0,234011.0,20.0
HR,95.0,87.0,148110.0,160777.0,368141.0,0.0
JH,137.0,250.0,464579.0,299587.0,428313.0,3.0
JK,611.0,572.0,254608.0,33383.0,414843.0,3.0
KA,2347.0,2339.0,724215.0,623591.0,1373861.0,75.0
KL,53326.0,48406.0,506604.0,109805.0,792534.0,3089.0
LA,58.0,28.0,2475.0,525.0,1532.0,0.0
LD,0.0,0.0,1625.0,69.0,796.0,0.0
MH,8117.0,15146.0,773516.0,1611778.0,1282938.0,200.0
ML,256.0,460.0,13944.0,7871.0,41927.0,4.0
MN,439.0,652.0,12787.0,7665.0,71276.0,10.0
MP,105.0,74.0,393209.0,148817.0,2034460.0,1.0
MZ,4098.0,5685.0,42841.0,4302.0,11262.0,21.0
NL,130.0,144.0,4606.0,4706.0,23628.0,6.0
OR,3046.0,3230.0,473919.0,731837.0,917236.0,24.0
PB,192.0,162.0,221114.0,200182.0,223256.0,8.0
PY,278.0,315.0,21095.0,8324.0,20073.0,0.0
RJ,27.0,26.0,95132.0,271500.0,864947.0,0.0
SK,79.0,76.0,2847.0,782.0,14044.0,2.0
TG,1189.0,1121.0,261086.0,1072389.0,961422.0,9.0
TN,7407.0,8852.0,858304.0,788134.0,1578082.0,97.0
TR,87.0,62.0,22126.0,4155.0,74642.0,0.0
TT,96071.0,101753.0,8431577.0,15883780.0,24527530.0,3727.0
UP,63.0,58.0,1140736.0,2266921.0,3130828.0,1.0
UT,75.0,74.0,83377.0,25250.0,258381.0,1.0
WB,6453.0,5953.0,300114.0,3809597.0,1871612.0,86.0
